860.979	0.572581	0.919042
822.053	1.19945	0.916733
783.234	1.88856	0.92581
744.541	2.6494	0.922419
705.994	3.4935	0.941205
667.617	4.43486	0.953338
629.442	5.49072	0.96203
591.51	6.68244	0.969781
553.867	8.03682	0.972981
516.579	9.58769	0.97786
479.728	11.3783	0.980714
443.424	13.4645	0.984397
407.811	15.9187	0.987095
373.088	18.836	0.990429
339.53	22.3406	0.99209
307.515	26.5939	0.994239
277.581	31.7987	0.995415
250.473	38.1933	0.997223
227.205	46.0139	0.999201
209.063	55.3963	0.999101
197.466	66.2075	1.00017
193.593	77.8945	1.00066
197.898	89.5555	1.00074
209.878	100.301	1.00087
228.329	109.6	1.00084
251.832	117.339	1.0013
279.115	123.664	1.00051
309.177	128.812	1.00001
341.286	133.021	0.999789
374.915	136.49	0.999056
409.69	139.38	0.997989
445.344	141.813	0.996098
481.682	143.881	0.996073
518.558	145.658	0.994686
555.866	147.197	0.993154
593.526	148.542	0.990258
631.473	149.726	0.988229
669.659	150.775	0.987603
708.046	151.711	0.983917
746.602	152.55	0.980706
785.302	153.307	0.974366
824.127	153.993	0.964857
863.059	154.617	0.950384
869.165	1.65063	0.91353
839.103	3.4211	0.915342
809.902	5.32116	0.927584
781.658	7.36089	0.915686
754.478	9.5506	0.935857
728.481	11.9002	0.949587
703.798	14.419	0.960556
680.573	17.1154	0.968193
658.959	19.9954	0.974301
639.12	23.0623	0.981431
621.225	26.3156	0.984731
605.449	29.7502	0.988777
591.96	33.3547	0.991398
580.916	37.1117	0.994202
572.461	40.9969	0.997857
566.709	44.9796	1.00022
563.743	49.024	1.00326
563.608	53.0908	1.00581
566.304	57.139	1.00788
571.793	61.1293	1.0094
579.997	65.0251	1.01118
590.799	68.7955	1.01215
604.062	72.4154	1.01367
619.628	75.8668	1.01447
637.327	79.1378	1.01594
656.987	82.2226	1.01727
678.44	85.1203	1.01792
701.518	87.8339	1.0185
726.068	90.3694	1.01961
751.945	92.7347	1.01856
779.019	94.9392	1.01631
807.166	96.9928	1.01478
836.28	98.9057	1.00961
866.264	100.688	0.995276
897.028	102.35	0.961847
869.851	156.648	0.934047
840.532	158.213	0.944449
812.126	159.843	0.95966
784.731	161.522	0.960102
758.457	163.22	0.957011
733.425	164.886	0.96031
709.764	166.428	0.957369
687.619	167.7	0.960822
667.139	168.492	0.961462
648.482	168.569	0.965036
631.808	167.787	0.968211
617.281	166.175	0.971439
605.054	163.889	0.973905
595.269	161.102	0.978668
588.046	157.959	0.980721
583.484	154.573	0.985226
581.642	151.028	0.987718
582.548	147.395	0.991773
586.188	143.735	0.99518
592.512	140.096	0.996188
601.435	136.521	1.00014
612.845	133.045	1.00218
626.604	129.693	1.00324
642.563	126.486	1.00678
660.561	123.437	1.00862
680.438	120.551	1.01005
702.032	117.832	1.0117
725.192	115.277	1.01203
749.772	112.882	1.01294
775.637	110.642	1.01433
802.662	108.548	1.01469
830.735	106.592	1.01216
859.753	104.764	1.00672
889.623	103.058	0.95255
860	0	0.909511
820	0	0.908229
780	0	0.921689
740	0	0.923813
700	0	0.941761
660	0	0.952614
620	0	0.960616
580	0	0.968369
540	0	0.972011
500	0	0.97645
460	0	0.97878
420	0	0.981885
380	0	0.984356
340	0	0.98762
300	0	0.990139
260	0	0.992246
220	0	0.994174
180	0	0.995503
140	0	0.996793
100	0	0.997169
60	0	0.998851
20	0	0.998318
20	180	0.998011
60	180	0.997778
100	180	0.998019
140	180	0.996057
180	180	0.995167
220	180	0.994037
260	180	0.992443
300	180	0.990761
340	180	0.988249
380	180	0.984368
420	180	0.982044
460	180	0.979789
500	180	0.975876
540	180	0.972814
580	180	0.968712
620	180	0.961174
660	180	0.952822
700	180	0.942283
740	180	0.925986
780	180	0.922542
820	180	0.917688
860	180	0.907829
0	0	0.998525
0	10	0.998525
0	20	0.998525
0	30	0.998525
0	40	0.998525
0	50	0.998525
0	60	0.998525
0	70	0.998525
0	80	0.998525
0	90	0.998525
0	100	0.998525
0	110	0.998525
0	120	0.998525
0	130	0.998525
0	140	0.998525
0	150	0.998525
0	160	0.998525
0	170	0.998525
0	180	0.998525
