ChID CopyNo HVBundleID HVCableID SignalCableID SiPMNo FECID FECChID
0 90 36 20 398 75 1 52
1 90 36 20 398 75 1 53
0 91 36 10 365 4118 1 54
1 91 36 10 365 4118 1 55
0 92 36 23 998 56 1 56
1 92 36 23 998 56 1 57
0 93 36 11 1917 63 1 58
1 93 36 11 1917 63 1 59
0 94 36 26 1946 3801 1 60
1 94 36 26 1946 3801 1 61
0 95 36 3 357 3903 1 62
1 95 36 3 357 3903 1 63
0 96 36 9 1914 3902 1 64
1 96 36 9 1914 3902 1 65
0 97 36 14 1923 3906 1 66
1 97 36 14 1923 3906 1 67
0 98 36 18 1919 79 1 68
1 98 36 18 1919 79 1 69
0 99 36 13 1936 3904 1 70
1 99 36 13 1936 3904 1 71
0 100 38 12 501 191 1 72
1 100 38 12 501 191 1 73
0 101 38 17 341 193 1 74
1 101 38 17 341 193 1 75
0 102 38 2 542 3909 1 76
1 102 38 2 542 3909 1 77
0 103 39 5 313 3910 1 78
1 103 39 5 313 3910 1 79
0 104 39 26 516 4111 1 80
1 104 39 26 516 4111 1 81
0 105 39 1 1579 3192 1 82
1 105 39 1 1579 3192 1 83
0 106 39 16 323 3193 1 84
1 106 39 16 323 3193 1 85
0 107 3 17 534 1741 1 86
1 107 3 17 534 1741 1 87
0 108 3 28 1577 3195 1 88
1 108 3 28 1577 3195 1 89
0 109 3 24 522 3196 1 90
1 109 3 24 522 3196 1 91
0 110 3 29 307 3197 1 92
1 110 3 29 307 3197 1 93
0 111 3 31 1553 3199 1 94
1 111 3 31 1553 3199 1 95
0 112 3 18 308 3200 1 96
1 112 3 18 308 3200 1 97
0 113 3 32 1559 3198 1 98
1 113 3 32 1559 3198 1 99
0 114 3 21 1557 3101 1 100
1 114 3 21 1557 3101 1 101
0 115 4 15 1943 4151 1 102
1 115 4 15 1943 4151 1 103
0 116 4 16 958 103 1 104
1 116 4 16 958 103 1 105
0 117 4 11 2067 94 1 106
1 117 4 11 2067 94 1 107
0 118 4 9 2078 4154 1 108
1 118 4 9 2078 4154 1 109
0 119 4 26 1910 127 1 110
1 119 4 26 1910 127 1 111
0 120 4 23 1909 120 1 112
1 120 4 23 1909 120 1 113
0 121 4 19 1947 4157 1 114
1 121 4 19 1947 4157 1 115
0 122 4 10 1908 4158 1 116
1 122 4 10 1908 4158 1 117
0 123 5 15 1284 4159 1 118
1 123 5 15 1284 4159 1 119
0 124 5 21 1093 4160 1 120
1 124 5 21 1093 4160 1 121
0 125 5 20 1285 3712 1 122
1 125 5 20 1285 3712 1 123
0 126 5 17 1918 3677 1 124
1 126 5 17 1918 3677 1 125
0 127 37 8 865 3713 1 126
1 127 37 8 865 3713 1 127
0 128 37 3 877 3715 2 0
1 128 37 3 877 3715 2 1
0 129 37 32 863 3680 2 2
1 129 37 32 863 3680 2 3
0 130 37 5 1775 3716 2 4
1 130 37 5 1775 3716 2 5
0 131 37 7 1770 3717 2 6
1 131 37 7 1770 3717 2 7
0 132 37 24 1774 3678 2 8
1 132 37 24 1774 3678 2 9
0 133 37 2 849 3679 2 10
1 133 37 2 849 3679 2 11
0 134 37 6 876 3676 2 12
1 134 37 6 876 3676 2 13
0 135 38 18 504 4931 2 14
1 135 38 18 504 4931 2 15
0 136 38 15 1587 4208 2 16
1 136 38 15 1587 4208 2 17
0 137 38 8 1574 4933 2 18
1 137 38 8 1574 4933 2 19
0 138 38 32 533 4934 2 20
1 138 38 32 533 4934 2 21
0 139 38 6 1590 4935 2 22
1 139 38 6 1590 4935 2 23
0 140 38 9 614 4936 2 24
1 140 38 9 614 4936 2 25
0 141 38 28 609 4937 2 26
1 141 38 28 609 4937 2 27
0 142 39 10 615 4938 2 28
1 142 39 10 615 4938 2 29
0 143 39 3 875 4939 2 30
1 143 39 3 875 4939 2 31
0 144 39 4 878 4940 2 32
1 144 39 4 878 4940 2 33
0 145 39 21 866 1135 2 34
1 145 39 21 866 1135 2 35
0 146 39 13 924 3842 2 36
1 146 39 13 924 3842 2 37
0 147 39 20 860 3843 2 38
1 147 39 20 860 3843 2 39
0 148 39 23 892 3844 2 40
1 148 39 23 892 3844 2 41
0 149 3 1 714 3845 2 42
1 149 3 1 714 3845 2 43
0 150 3 30 727 1136 2 44
1 150 3 30 727 1136 2 45
0 151 3 15 926 3847 2 46
1 151 3 15 926 3847 2 47
0 152 3 19 873 3848 2 48
1 152 3 19 873 3848 2 49
0 153 3 20 641 3849 2 50
1 153 3 20 641 3849 2 51
0 154 3 10 859 3850 2 52
1 154 3 10 859 3850 2 53
0 155 3 2 625 3721 2 54
1 155 3 2 625 3721 2 55
0 156 3 8 637 3722 2 56
1 156 3 8 637 3722 2 57
0 157 4 17 571 4464 2 58
1 157 4 17 571 4464 2 59
0 158 4 6 244 3724 2 60
1 158 4 6 244 3724 2 61
0 159 4 14 211 3725 2 62
1 159 4 14 211 3725 2 63
0 160 4 7 205 3726 2 64
1 160 4 7 205 3726 2 65
0 161 4 12 1000 4470 2 66
1 161 4 12 1000 4470 2 67
0 162 4 13 552 4468 2 68
1 162 4 13 552 4468 2 69
0 163 4 20 329 3729 2 70
1 163 4 20 329 3729 2 71
0 164 4 27 331 3730 2 72
1 164 4 27 331 3730 2 73
0 165 5 9 397 4451 2 74
1 165 5 9 397 4451 2 75
0 166 5 13 281 4452 2 76
1 166 5 13 281 4452 2 77
0 167 5 14 399 4453 2 78
1 167 5 14 399 4453 2 79
0 168 5 6 937 4454 2 80
1 168 5 6 937 4454 2 81
0 169 5 1 180 4455 2 82
1 169 5 1 180 4455 2 83
0 170 5 7 931 4456 2 84
1 170 5 7 931 4456 2 85
0 171 5 25 156 4475 2 86
1 171 5 25 156 4475 2 87
0 172 37 29 212 4480 2 88
1 172 37 29 212 4480 2 89
0 173 37 14 322 4459 2 90
1 173 37 14 322 4459 2 91
0 174 37 30 570 4477 2 92
1 174 37 30 570 4477 2 93
0 175 37 31 209 4206 2 94
1 175 37 31 209 4206 2 95
0 176 37 27 598 3793 2 96
1 176 37 27 598 3793 2 97
0 177 37 19 565 3794 2 98
1 177 37 19 565 3794 2 99
0 178 37 17 294 4207 2 100
1 178 37 17 294 4207 2 101
0 179 37 13 312 3796 2 102
1 179 37 13 312 3796 2 103
0 180 38 7 851 3797 2 104
1 180 38 7 851 3797 2 105
0 181 38 20 870 3798 2 106
1 181 38 20 870 3798 2 107
0 182 38 4 863 3799 2 108
1 182 38 4 863 3799 2 109
0 183 38 13 869 3800 2 110
1 183 38 13 869 3800 2 111
0 184 38 19 858 3780 2 112
1 184 38 19 858 3780 2 113
0 185 38 16 861 4490 2 114
1 185 38 16 861 4490 2 115
0 186 39 12 708 4489 2 116
1 186 39 12 708 4489 2 117
0 187 39 18 895 4488 2 118
1 187 39 18 895 4488 2 119
0 188 39 8 645 4487 2 120
1 188 39 8 645 4487 2 121
0 189 39 19 890 4486 2 122
1 189 39 19 890 4486 2 123
0 190 39 25 868 4485 2 124
1 190 39 25 868 4485 2 125
0 191 39 9 862 4484 2 126
1 191 39 9 862 4484 2 127
0 192 39 11 888 4483 3 0
1 192 39 11 888 4483 3 1
0 193 39 23 618 4204 3 2
1 193 39 23 618 4204 3 3
0 194 39 15 712 4482 3 4
1 194 39 15 712 4482 3 5
0 195 39 32 912 3191 3 6
1 195 39 32 912 3191 3 7
0 196 3 11 643 4710 3 8
1 196 3 11 643 4710 3 9
0 197 3 23 716 4709 3 10
1 197 3 23 716 4709 3 11
0 198 3 3 729 4708 3 12
1 198 3 3 729 4708 3 13
0 199 3 9 638 4707 3 14
1 199 3 9 638 4707 3 15
0 200 3 26 709 4706 3 16
1 200 3 26 709 4706 3 17
0 201 3 22 728 4705 3 18
1 201 3 22 728 4705 3 19
