Sheel N/S,Layer,Layer inner no,SiPM no,Inner Sig,HV B no,HV I no,θ,φ,copy no,FEB type,LV M no,LV I no,FEC,FEC ch,HV Unit,HV Unit ch,tag,FEC,HV,chid
N,3,82,4081,1188,61,11,82.175,258.053,1752,N,285,2,21,25,32,107,1,21-25,32-107,3505
S,1,83,1598,1204,107,29,91.565,258.947,2094,H,108,3,21,26,57,71,1,21-26,57-71,4188
S,1,83,1598,1204,107,29,91.565,258.947,2094,H,108,3,21,27,57,71,1,21-27,57-71,4189
N,6,81,460,834,54,14,72.774,266.667,1421,N,233,1,21,28,48,101,1,21-28,48-101,2842
N,6,81,460,834,54,14,72.774,266.667,1421,N,233,1,21,29,48,101,1,21-29,48-101,2843
N,8,73,4868,118,54,28,66.501,249.231,1203,N,166,1,21,30,48,73,1,21-30,48-73,2406
N,8,73,4868,118,54,28,66.501,249.231,1203,N,166,1,21,31,48,73,1,21-31,48-73,2407
S,21,34,4555,26,131,21,154.463,258.261,3871,N,46,2,21,32,38,24,1,21-32,38-24,7742
S,21,34,4555,26,131,21,154.463,258.261,3871,N,46,2,21,33,38,24,1,21-33,38-24,7743
S,21,33,4557,41,131,28,154.463,250.435,3870,N,46,1,21,34,38,10,1,21-34,38-10,7740
S,21,33,4557,41,131,28,154.463,250.435,3870,N,46,1,21,35,38,10,1,21-35,38-10,7741
S,16,57,3386,587,125,26,138.656,276.164,3580,N,29,1,21,36,57,78,1,21-36,57-78,7160
S,16,57,3386,587,125,26,138.656,276.164,3580,N,29,1,21,37,57,78,1,21-37,57-78,7161
S,22,28,4291,5,131,29,157.639,243,3911,N,37,4,21,38,38,8,1,21-38,38-8,7822
S,22,28,4291,5,131,29,157.639,243,3911,N,37,4,21,39,38,8,1,21-39,38-8,7823
S,4,87,2547,1031,106,15,100.957,276.429,2439,H,348,3,21,40,47,35,1,21-40,47-35,4878
S,4,87,2547,1031,106,15,100.957,276.429,2439,H,348,3,21,41,47,35,1,21-41,47-35,4879
S,13,66,1503,316,125,27,129.208,268.966,3342,N,54,2,21,42,57,76,1,21-42,57-76,6684
S,13,66,1503,316,125,27,129.208,268.966,3342,N,54,2,21,43,57,76,1,21-43,57-76,6685
S,22,29,4292,248,131,8,157.639,252,3912,N,72,1,21,44,38,50,1,21-44,38-50,7824
S,22,29,4292,248,131,8,157.639,252,3912,N,72,1,21,45,38,50,1,21-45,38-50,7825
S,15,60,4276,580,125,25,135.504,272.308,3505,N,26,4,21,46,57,80,1,21-46,57-80,7010
S,15,60,4276,580,125,25,135.504,272.308,3505,N,26,4,21,47,57,80,1,21-47,57-80,7011
N,19,46,2779,890,40,10,31.872,279.31,283,N,283,2,21,48,53,110,1,21-48,53-110,566
N,19,46,2779,890,40,10,31.872,279.31,283,N,283,2,21,49,53,110,1,21-49,53-110,567
N,7,77,4815,145,54,2,69.638,258.113,1311,N,134,1,21,52,48,125,1,21-52,48-125,2622
N,7,77,4815,145,54,2,69.638,258.113,1311,N,134,1,21,53,48,125,1,21-53,48-125,2623
N,20,37,4528,957,37,1,28.707,249.231,222,N,116,1,21,54,52,128,1,21-54,52-128,444
N,20,37,4528,957,37,1,28.707,249.231,222,N,116,1,21,55,52,128,1,21-55,52-128,445
S,10,71,2360,203,120,4,119.778,257.143,3064,N,139,3,21,56,38,57,1,21-56,38-57,6128
S,10,71,2360,203,120,4,119.778,257.143,3064,N,139,3,21,57,38,57,1,21-57,38-57,6129
N,9,74,1278,53,48,10,63.362,260.198,1103,N,96,2,21,58,54,45,1,21-58,54-45,2206
N,9,74,1278,53,48,10,63.362,260.198,1103,N,96,2,21,59,54,45,1,21-59,54-45,2207
N,15,64,2939,691,44,26,44.496,290.769,563,N,66,4,21,60,48,78,1,21-60,48-78,1126
N,15,64,2939,691,44,26,44.496,290.769,563,N,66,4,21,61,48,78,1,21-61,48-78,1127
N,19,45,2778,898,40,29,31.872,273.103,282,N,283,1,21,62,53,72,1,21-62,53-72,564
N,19,45,2778,898,40,29,31.872,273.103,282,N,283,1,21,63,53,72,1,21-63,53-72,565
S,6,12,4369,429,109,7,107.226,36.6667,2586,N,52,4,21,64,59,52,1,21-64,59-52,5172
S,6,12,4369,429,109,7,107.226,36.6667,2586,N,52,4,21,65,59,52,1,21-65,59-52,5173
N,6,15,4588,985,60,29,72.774,46.6667,1355,N,472,3,21,66,59,7,1,21-66,59-7,2710
N,6,15,4588,985,60,29,72.774,46.6667,1355,N,472,3,21,67,59,7,1,21-67,59-7,2711
N,16,12,2078,778,47,17,41.344,54.2466,438,N,4,4,21,68,61,95,1,21-68,61-95,876
N,16,12,2078,778,47,17,41.344,54.2466,438,N,4,4,21,69,61,95,1,21-69,61-95,877
N,7,15,4289,17,59,3,69.638,47.5472,1249,N,121,3,21,70,58,59,1,21-70,58-59,2498
N,7,15,4289,17,59,3,69.638,47.5472,1249,N,121,3,21,71,58,59,1,21-71,58-59,2499
N,13,15,4630,255,47,7,50.792,57.931,674,N,34,3,21,74,61,115,1,21-74,61-115,1348
N,13,15,4630,255,47,7,50.792,57.931,674,N,34,3,21,75,61,115,1,21-75,61-115,1349
N,8,14,646,535,59,26,66.501,45,1144,N,135,2,21,76,58,13,1,21-76,58-13,2288
N,8,14,646,535,59,26,66.501,45,1144,N,135,2,21,77,58,13,1,21-77,58-13,2289
N,8,13,885,484,59,27,66.501,41.5385,1143,N,135,1,21,78,58,11,1,21-78,58-11,2286
N,8,13,885,484,59,27,66.501,41.5385,1143,N,135,1,21,79,58,11,1,21-79,58-11,2287
S,5,13,4301,649,109,8,104.091,39.2727,2477,N,154,1,21,84,59,50,1,21-84,59-50,4954
S,5,13,4301,649,109,8,104.091,39.2727,2477,N,154,1,21,85,59,50,1,21-85,59-50,4955
S,17,9,1337,102,126,16,141.81,42.3529,3605,N,129,1,21,86,48,33,1,21-86,48-33,7210
S,17,9,1337,102,126,16,141.81,42.3529,3605,N,129,1,21,87,48,33,1,21-87,48-33,7211
S,19,11,4191,263,126,8,148.128,62.069,3738,N,55,3,21,88,48,49,1,21-88,48-49,7476
S,19,11,4191,263,126,8,148.128,62.069,3738,N,55,3,21,89,48,49,1,21-89,48-49,7477
S,5,12,4381,645,109,24,104.091,36,2476,N,139,4,21,90,59,18,1,21-90,59-18,4952
S,5,12,4381,645,109,24,104.091,36,2476,N,139,4,21,91,59,18,1,21-91,59-18,4953
S,7,11,5379,639,109,32,110.362,33.9623,2693,N,181,3,21,92,59,2,1,21-92,59-2,5386
S,7,11,5379,639,109,32,110.362,33.9623,2693,N,181,3,21,93,59,2,1,21-93,59-2,5387
N,7,14,4349,482,59,1,69.638,44.1509,1248,N,121,2,21,94,58,63,1,21-94,58-63,2496
N,7,14,4349,482,59,1,69.638,44.1509,1248,N,121,2,21,95,58,63,1,21-95,58-63,2497
N,3,13,410,1433,66,32,82.175,38.2301,1683,N,276,1,21,96,38,65,1,21-96,38-65,3366
N,3,13,410,1433,66,32,82.175,38.2301,1683,N,276,1,21,97,38,65,1,21-97,38-65,3367
S,8,9,1910,2081,109,21,113.499,27.6923,2797,N,387,1,21,98,59,24,1,21-98,59-24,5594
S,8,9,1910,2081,109,21,113.499,27.6923,2797,N,387,1,21,99,59,24,1,21-99,59-24,5595
N,4,10,1999,1447,66,27,79.043,28.9286,1568,N,453,2,21,100,38,75,1,21-100,38-75,3136
N,4,10,1999,1447,66,27,79.043,28.9286,1568,N,453,2,21,101,38,75,1,21-101,38-75,3137
N,2,13,273,1891,66,24,85.306,37.8947,1796,N,176,1,21,102,38,81,1,21-102,38-81,3592
N,2,13,273,1891,66,24,85.306,37.8947,1796,N,176,1,21,103,38,81,1,21-103,38-81,3593
N,3,10,2888,83,66,26,82.175,28.6726,1680,N,483,2,21,104,38,77,1,21-104,38-77,3360
N,3,10,2888,83,66,26,82.175,28.6726,1680,N,483,2,21,105,38,77,1,21-105,38-77,3361
S,10,9,660,132,116,8,119.778,29.3878,3002,N,97,1,21,106,56,49,1,21-106,56-49,6004
S,10,9,660,132,116,8,119.778,29.3878,3002,N,97,1,21,107,56,49,1,21-107,56-49,6005
N,2,12,272,35,66,6,85.306,34.7368,1795,N,516,4,21,110,38,117,1,21-110,38-117,3590
N,2,12,272,35,66,6,85.306,34.7368,1795,N,516,4,21,111,38,117,1,21-111,38-117,3591
N,2,11,280,92,66,10,85.306,31.5789,1794,N,516,3,21,112,38,109,1,21-112,38-109,3588
N,2,11,280,92,66,10,85.306,31.5789,1794,N,516,3,21,113,38,109,1,21-113,38-109,3589
N,1,12,729,77,66,28,88.435,34.7368,1909,N,151,4,21,114,38,73,1,21-114,38-73,3818
N,1,12,729,77,66,28,88.435,34.7368,1909,N,151,4,21,115,38,73,1,21-115,38-73,3819
N,1,11,730,1895,66,22,88.435,31.5789,1908,N,151,3,21,116,38,85,1,21-116,38-85,3816
N,1,11,730,1895,66,22,88.435,31.5789,1908,N,151,3,21,117,38,85,1,21-117,38-85,3817
N,1,10,1308,230,66,8,88.435,28.4211,1907,N,151,2,21,118,38,113,1,21-118,38-113,3814
N,1,10,1308,230,66,8,88.435,28.4211,1907,N,151,2,21,119,38,113,1,21-119,38-113,3815
N,3,12,409,224,66,19,82.175,35.0442,1682,N,483,4,21,120,38,91,1,21-120,38-91,3364
N,3,12,409,224,66,19,82.175,35.0442,1682,N,483,4,21,121,38,91,1,21-121,38-91,3365
N,3,11,401,1893,66,12,82.175,31.8584,1681,N,483,3,21,122,38,105,1,21-122,38-105,3362
N,3,11,401,1893,66,12,82.175,31.8584,1681,N,483,3,21,123,38,105,1,21-123,38-105,3363
N,1,13,726,96,66,1,88.435,37.8947,1910,N,177,1,21,124,38,127,1,21-124,38-127,3820
N,1,13,726,96,66,1,88.435,37.8947,1910,N,177,1,21,125,38,127,1,21-125,38-127,3821
S,18,12,2598,120,126,7,144.967,62.8571,3676,N,61,4,21,126,48,51,1,21-126,48-51,7352
S,18,12,2598,120,126,7,144.967,62.8571,3676,N,61,4,21,127,48,51,1,21-127,48-51,7353
S,13,68,1507,495,125,31,129.208,277.241,3344,N,54,4,22,0,57,68,1,22-0,57-68,6688
S,13,68,1507,495,125,31,129.208,277.241,3344,N,54,4,22,1,57,68,1,22-1,57-68,6689
S,25,17,3636,189,133,16,167.229,261.818,4002,N,45,5,22,4,32,34,1,22-4,32-34,8004
S,25,17,3636,189,133,16,167.229,261.818,4002,N,45,5,22,5,32,34,1,22-5,32-34,8005
S,9,74,3915,2034,202,12,116.638,260.198,2966,S,82,2,22,6,39,41,1,22-6,39-41,5932
S,9,74,3915,2034,202,12,116.638,260.198,2966,S,82,2,22,7,39,41,1,22-7,39-41,5933
N,22,32,3717,1770,37,7,22.361,279,131,N,74,4,22,8,52,116,1,22-8,52-116,262
N,22,32,3717,1770,37,7,22.361,279,131,N,74,4,22,9,52,116,1,22-9,52-116,263
S,24,23,2348,188,132,25,164.018,282.857,3980,N,77,3,22,10,32,15,1,22-10,32-15,7960
S,24,23,2348,188,132,25,164.018,282.857,3980,N,77,3,22,11,32,15,1,22-11,32-15,7961
S,24,24,2253,183,132,7,164.018,295.714,3981,N,77,4,22,12,32,51,1,22-12,32-51,7962
S,24,24,2253,183,132,7,164.018,295.714,3981,N,77,4,22,13,32,51,1,22-13,32-51,7963
S,9,76,3920,1707,120,22,116.638,267.327,2968,N,82,4,22,14,38,21,1,22-14,38-21,5936
S,9,76,3920,1707,120,22,116.638,267.327,2968,N,82,4,22,15,38,21,1,22-15,38-21,5937
S,13,67,1508,396,125,20,129.208,273.103,3343,N,54,3,22,16,57,90,1,22-16,57-90,6686
S,13,67,1508,396,125,20,129.208,273.103,3343,N,54,3,22,17,57,90,1,22-17,57-90,6687
S,26,12,3129,114,133,10,170.465,247.5,4019,N,76,4,22,18,32,46,1,22-18,32-46,8038
S,26,12,3129,114,133,10,170.465,247.5,4019,N,76,4,22,19,32,46,1,22-19,32-46,8039
S,9,75,3912,1742,120,9,116.638,263.762,2967,S,82,3,22,20,38,47,1,22-20,38-47,5934
S,9,75,3912,1742,120,9,116.638,263.762,2967,S,82,3,22,21,38,47,1,22-21,38-47,5935
S,14,63,1050,500,125,22,132.355,272.195,3426,N,44,3,22,22,57,86,1,22-22,57-86,6852
S,14,63,1050,500,125,22,132.355,272.195,3426,N,44,3,22,23,57,86,1,22-23,57-86,6853
S,14,64,1048,593,125,13,132.355,276.585,3427,N,44,4,22,24,57,104,1,22-24,57-104,6854
S,14,64,1048,593,125,13,132.355,276.585,3427,N,44,4,22,25,57,104,1,22-25,57-104,6855
N,8,78,1168,112,54,23,66.501,266.538,1208,N,221,2,22,26,48,83,1,22-26,48-83,2416
N,8,78,1168,112,54,23,66.501,266.538,1208,N,221,2,22,27,48,83,1,22-27,48-83,2417
S,9,77,3918,1740,120,5,116.638,270.891,2969,N,33,1,22,28,38,55,1,22-28,38-55,5938
S,9,77,3918,1740,120,5,116.638,270.891,2969,N,33,1,22,29,38,55,1,22-29,38-55,5939
N,21,36,4206,209,37,31,25.537,273.913,175,N,251,4,22,30,52,68,1,22-30,52-68,350
N,21,36,4206,209,37,31,25.537,273.913,175,N,251,4,22,31,52,68,1,22-31,52-68,351
S,7,85,4231,1337,113,9,110.362,285.283,2767,N,41,1,22,32,62,111,1,22-32,62-111,5534
S,7,85,4231,1337,113,9,110.362,285.283,2767,N,41,1,22,33,62,111,1,22-33,62-111,5535
N,4,81,662,1189,61,1,79.043,257.143,1639,N,431,1,22,34,32,127,1,22-34,32-127,3278
N,4,81,662,1189,61,1,79.043,257.143,1639,N,431,1,22,35,32,127,1,22-35,32-127,3279
N,2,84,1537,1171,61,5,85.306,262.105,1867,N,187,4,22,36,32,119,1,22-36,32-119,3734
N,2,84,1537,1171,61,5,85.306,262.105,1867,N,187,4,22,37,32,119,1,22-37,32-119,3735
S,11,67,570,350,120,7,122.92,252.766,3158,N,188,3,22,38,38,51,1,22-38,38-51,6316
S,11,67,570,350,120,7,122.92,252.766,3158,N,188,3,22,39,38,51,1,22-39,38-51,6317
N,19,47,2780,891,40,13,31.872,285.517,284,N,283,3,22,40,53,104,1,22-40,53-104,568
N,19,47,2780,891,40,13,31.872,285.517,284,N,283,3,22,41,53,104,1,22-41,53-104,569
N,22,31,3716,1775,37,5,22.361,270,130,N,74,3,22,42,52,120,1,22-42,52-120,260
N,22,31,3716,1775,37,5,22.361,270,130,N,74,3,22,43,52,120,1,22-43,52-120,261
N,8,76,1170,127,54,32,66.501,259.615,1206,N,166,4,22,44,48,65,1,22-44,48-65,2412
N,8,76,1170,127,54,32,66.501,259.615,1206,N,166,4,22,45,48,65,1,22-45,48-65,2413
N,21,33,4480,212,37,29,25.537,250.435,172,N,251,1,22,46,52,72,1,22-46,52-72,344
N,21,33,4480,212,37,29,25.537,250.435,172,N,251,1,22,47,52,72,1,22-47,52-72,345
N,22,33,3678,1774,37,24,22.361,288,132,N,64,1,22,48,52,82,1,22-48,52-82,264
N,22,33,3678,1774,37,24,22.361,288,132,N,64,1,22,49,52,82,1,22-49,52-82,265
N,13,72,4001,409,44,11,50.792,293.793,731,N,55,4,22,50,48,108,1,22-50,48-108,1462
N,13,72,4001,409,44,11,50.792,293.793,731,N,55,4,22,51,48,108,1,22-51,48-108,1463
S,15,62,966,590,125,4,135.504,281.538,3507,N,33,2,22,52,57,122,1,22-52,57-122,7014
S,15,62,966,590,125,4,135.504,281.538,3507,N,33,2,22,53,57,122,1,22-53,57-122,7015
S,25,16,3617,211,133,6,167.229,245.455,4001,N,45,4,22,54,32,54,1,22-54,32-54,8002
S,25,16,3617,211,133,6,167.229,245.455,4001,N,45,4,22,55,32,54,1,22-55,32-54,8003
S,18,48,294,386,128,1,144.967,268.571,3712,N,19,4,22,56,63,127,1,22-56,63-127,7424
S,18,48,294,386,128,1,144.967,268.571,3712,N,19,4,22,57,63,127,1,22-57,63-127,7425
S,17,52,132,442,128,10,141.81,270,3648,N,103,4,22,58,63,109,1,22-58,63-109,7296
S,17,52,132,442,128,10,141.81,270,3648,N,103,4,22,59,63,109,1,22-59,63-109,7297
N,14,68,671,146,44,27,47.645,294.146,645,N,131,4,22,60,48,76,1,22-60,48-76,1290
N,14,68,671,146,44,27,47.645,294.146,645,N,131,4,22,61,48,76,1,22-61,48-76,1291
N,2,35,553,1549,28,24,85.306,107.368,1818,N,199,3,22,64,43,18,1,22-64,43-18,3636
N,2,35,553,1549,28,24,85.306,107.368,1818,N,199,3,22,65,43,18,1,22-65,43-18,3637
S,10,21,2631,463,87,14,119.778,73.4694,3014,N,119,1,22,66,54,101,1,22-66,54-101,6028
S,10,21,2631,463,87,14,119.778,73.4694,3014,N,119,1,22,67,54,101,1,22-67,54-101,6029
S,3,26,1914,36,74,22,97.825,79.646,2265,N,324,2,22,68,37,86,1,22-68,37-86,4530
S,3,26,1914,36,74,22,97.825,79.646,2265,N,324,2,22,69,37,86,1,22-69,37-86,4531
N,1,34,464,1105,28,29,88.435,104.211,1931,N,282,2,22,70,43,8,1,22-70,43-8,3862
N,1,34,464,1105,28,29,88.435,104.211,1931,N,282,2,22,71,43,8,1,22-71,43-8,3863
S,4,27,2188,1079,74,27,100.957,83.5714,2379,N,445,3,22,72,37,76,1,22-72,37-76,4758
S,4,27,2188,1079,74,27,100.957,83.5714,2379,N,445,3,22,73,37,76,1,22-73,37-76,4759
S,3,27,1940,23,74,29,97.825,82.8319,2266,N,324,3,22,74,37,72,1,22-74,37-72,4532
S,3,27,1940,23,74,29,97.825,82.8319,2266,N,324,3,22,75,37,72,1,22-75,37-72,4533
S,12,21,3087,491,87,1,126.063,79.1209,3206,N,4,1,22,76,54,127,1,22-76,54-127,6412
S,12,21,3087,491,87,1,126.063,79.1209,3206,N,4,1,22,77,54,127,1,22-77,54-127,6413
N,16,24,2625,951,10,26,41.344,113.425,450,N,9,4,22,78,42,78,1,22-78,42-78,900
N,16,24,2625,951,10,26,41.344,113.425,450,N,9,4,22,79,42,78,1,22-79,42-78,901
S,6,34,4024,1880,80,5,107.226,110,2608,N,213,2,22,80,34,56,1,22-80,34-56,5216
S,6,34,4024,1880,80,5,107.226,110,2608,N,213,2,22,81,34,56,1,22-81,34-56,5217
N,8,34,3492,1036,21,4,66.501,114.231,1164,N,149,2,22,82,42,58,1,22-82,42-58,2328
N,8,34,3492,1036,21,4,66.501,114.231,1164,N,149,2,22,83,42,58,1,22-83,42-58,2329
N,2,34,554,1110,28,19,85.306,104.211,1817,N,199,2,22,84,43,28,1,22-84,43-28,3634
N,2,34,554,1110,28,19,85.306,104.211,1817,N,199,2,22,85,43,28,1,22-85,43-28,3635
N,7,36,3537,826,21,19,69.638,118.868,1270,N,194,4,22,86,42,28,1,22-86,42-28,2540
N,7,36,3537,826,21,19,69.638,118.868,1270,N,194,4,22,87,42,28,1,22-87,42-28,2541
N,16,23,2085,956,10,31,41.344,108.493,449,N,9,3,22,88,42,68,1,22-88,42-68,898
N,16,23,2085,956,10,31,41.344,108.493,449,N,9,3,22,89,42,68,1,22-89,42-68,899
N,2,36,556,1132,28,11,85.306,110.526,1819,N,199,4,22,90,43,44,1,22-90,43-44,3638
N,2,36,556,1132,28,11,85.306,110.526,1819,N,199,4,22,91,43,44,1,22-91,43-44,3639
N,8,36,4126,824,21,15,66.501,121.154,1166,N,149,4,22,92,42,36,1,22-92,42-36,2332
N,8,36,4126,824,21,15,66.501,121.154,1166,N,149,4,22,93,42,36,1,22-93,42-36,2333
S,8,32,5356,257,80,4,113.499,107.308,2820,N,499,4,22,94,34,58,1,22-94,34-58,5640
S,8,32,5356,257,80,4,113.499,107.308,2820,N,499,4,22,95,34,58,1,22-95,34-58,5641
S,11,21,950,459,87,6,122.92,76.5957,3112,N,82,1,22,96,54,117,1,22-96,54-117,6224
S,11,21,950,459,87,6,122.92,76.5957,3112,N,82,1,22,97,54,117,1,22-97,54-117,6225
S,11,20,1703,466,87,11,122.92,72.766,3111,N,107,4,22,98,54,107,1,22-98,54-107,6222
S,11,20,1703,466,87,11,122.92,72.766,3111,N,107,4,22,99,54,107,1,22-99,54-107,6223
N,5,38,59,109,22,14,75.909,121.091,1486,N,383,2,22,100,30,102,1,22-100,30-102,2972
N,5,38,59,109,22,14,75.909,121.091,1486,N,383,2,22,101,30,102,1,22-101,30-102,2973
S,3,29,1938,231,74,1,97.825,89.2035,2268,N,324,1,22,102,37,128,1,22-102,37-128,4536
S,3,29,1938,231,74,1,97.825,89.2035,2268,N,324,1,22,103,37,128,1,22-103,37-128,4537
S,10,22,2638,415,87,18,119.778,77.1429,3015,N,119,2,22,104,54,93,1,22-104,54-93,6030
S,10,22,2638,415,87,18,119.778,77.1429,3015,N,119,2,22,105,54,93,1,22-105,54-93,6031
S,1,29,1667,1080,74,7,91.565,88.4211,2040,N,457,1,22,106,37,116,1,22-106,37-116,4080
S,1,29,1667,1080,74,7,91.565,88.4211,2040,N,457,1,22,107,37,116,1,22-107,37-116,4081
S,4,28,2186,1081,201,10,100.957,86.7857,2380,N,445,4,22,108,54,110,1,22-108,54-110,4760
S,4,28,2186,1081,201,10,100.957,86.7857,2380,N,445,4,22,109,54,110,1,22-109,54-110,4761
S,2,29,5401,1376,74,20,94.694,88.4211,2154,N,506,1,22,110,37,90,1,22-110,37-90,4308
S,2,29,5401,1376,74,20,94.694,88.4211,2154,N,506,1,22,111,37,90,1,22-111,37-90,4309
N,4,34,144,1527,28,26,79.043,106.071,1592,N,363,2,22,112,43,14,1,22-112,43-14,3184
N,4,34,144,1527,28,26,79.043,106.071,1592,N,363,2,22,113,43,14,1,22-113,43-14,3185
N,13,27,1120,647,10,19,50.792,107.586,686,N,93,3,22,114,42,92,1,22-114,42-92,1372
N,13,27,1120,647,10,19,50.792,107.586,686,N,93,3,22,115,42,92,1,22-115,42-92,1373
N,7,35,3531,1038,21,18,69.638,115.472,1269,N,194,3,22,116,42,30,1,22-116,42-30,2538
N,7,35,3531,1038,21,18,69.638,115.472,1269,N,194,3,22,117,42,30,1,22-117,42-30,2539
N,5,37,113,2025,21,2,75.909,117.818,1485,N,383,1,22,118,42,62,1,22-118,42-62,2970
N,5,37,113,2025,21,2,75.909,117.818,1485,N,383,1,22,119,42,62,1,22-119,42-62,2971
N,6,35,695,113,21,12,72.774,113.333,1375,N,220,3,22,120,42,42,1,22-120,42-42,2750
N,6,35,695,113,21,12,72.774,113.333,1375,N,220,3,22,121,42,42,1,22-121,42-42,2751
N,5,36,118,2029,21,8,75.909,114.545,1484,N,307,4,22,122,42,50,1,22-122,42-50,2968
N,5,36,118,2029,21,8,75.909,114.545,1484,N,307,4,22,123,42,50,1,22-123,42-50,2969
N,16,22,1290,623,9,23,41.344,103.562,448,N,9,2,22,124,30,20,1,22-124,30-20,896
N,16,22,1290,623,9,23,41.344,103.562,448,N,9,2,22,125,30,20,1,22-125,30-20,897
N,23,25,75,398,36,20,19.177,254.118,90,N,215,1,23,0,63,25,1,23-0,63-25,180
N,23,25,75,398,36,20,19.177,254.118,90,N,215,1,23,1,63,25,1,23-1,63-25,181
S,19,42,810,166,128,29,148.128,254.483,3769,N,35,2,23,2,63,71,1,23-2,63-71,7538
S,19,42,810,166,128,29,148.128,254.483,3769,N,35,2,23,3,63,71,1,23-3,63-71,7539
N,22,29,3715,877,37,3,22.361,252,128,N,74,1,23,4,52,124,1,23-4,52-124,256
N,22,29,3715,877,37,3,22.361,252,128,N,74,1,23,5,52,124,1,23-5,52-124,257
N,12,64,1588,158,48,11,53.937,249.231,810,N,114,4,23,6,54,43,1,23-6,54-43,1620
N,12,64,1588,158,48,11,53.937,249.231,810,N,114,4,23,7,54,43,1,23-7,54-43,1621
N,26,12,3662,2071,35,26,9.535,247.5,11,N,138,4,23,8,51,77,1,23-8,51-77,22
N,26,12,3662,2071,35,26,9.535,247.5,11,N,138,4,23,9,51,77,1,23-9,51-77,23
N,23,26,4118,365,36,10,19.177,264.706,91,N,215,2,23,10,63,45,1,23-10,63-45,182
N,23,26,4118,365,36,10,19.177,264.706,91,N,215,2,23,11,63,45,1,23-11,63-45,183
S,18,49,1576,385,128,32,144.967,274.286,3713,N,140,1,23,12,63,65,1,23-12,63-65,7426
S,18,49,1576,385,128,32,144.967,274.286,3713,N,140,1,23,13,63,65,1,23-13,63-65,7427
S,15,61,770,470,125,12,135.504,276.923,3506,N,33,1,23,14,57,106,1,23-14,57-106,7012
S,15,61,770,470,125,12,135.504,276.923,3506,N,33,1,23,15,57,106,1,23-15,57-106,7013
N,6,76,3742,879,54,21,72.774,250,1416,N,91,4,23,16,48,87,1,23-16,48-87,2832
N,6,76,3742,879,54,21,72.774,250,1416,N,91,4,23,17,48,87,1,23-17,48-87,2833
S,19,43,805,77,128,27,148.128,260.69,3770,N,35,3,23,18,63,75,1,23-18,63-75,7540
S,19,43,805,77,128,27,148.128,260.69,3770,N,35,3,23,19,63,75,1,23-19,63-75,7541
N,11,67,1413,933,48,20,57.08,252.766,904,N,139,3,23,20,54,25,1,23-20,54-25,1808
N,11,67,1413,933,48,20,57.08,252.766,904,N,139,3,23,21,54,25,1,23-21,54-25,1809
N,20,39,4530,324,37,11,28.707,263.077,224,N,116,3,23,22,52,108,1,23-22,52-108,448
N,20,39,4530,324,37,11,28.707,263.077,224,N,116,3,23,23,52,108,1,23-23,52-108,449
N,10,70,1296,66,48,30,60.222,253.469,1001,N,16,2,23,26,54,5,1,23-26,54-5,2002
N,10,70,1296,66,48,30,60.222,253.469,1001,N,16,2,23,27,54,5,1,23-27,54-5,2003
S,24,22,2750,240,132,22,164.018,270,3979,N,77,2,23,28,32,21,1,23-28,32-21,7958
S,24,22,2750,240,132,22,164.018,270,3979,N,77,2,23,29,32,21,1,23-29,32-21,7959
S,23,27,2805,200,132,29,160.823,275.294,3950,N,28,3,23,30,32,7,1,23-30,32-7,7900
S,23,27,2805,200,132,29,160.823,275.294,3950,N,28,3,23,31,32,7,1,23-31,32-7,7901
S,23,26,2804,253,132,17,160.823,264.706,3949,N,28,2,23,32,32,31,1,23-32,32-31,7898
S,23,26,2804,253,132,17,160.823,264.706,3949,N,28,2,23,33,32,31,1,23-33,32-31,7899
S,6,77,2586,356,114,8,107.226,253.333,2651,N,270,1,23,34,32,114,1,23-34,32-114,5302
S,6,77,2586,356,114,8,107.226,253.333,2651,N,270,1,23,35,32,114,1,23-35,32-114,5303
N,8,79,1167,139,54,26,66.501,270,1209,N,221,3,23,36,48,77,1,23-36,48-77,2418
N,8,79,1167,139,54,26,66.501,270,1209,N,221,3,23,37,48,77,1,23-37,48-77,2419
S,17,49,618,381,128,25,141.81,254.118,3645,N,103,1,23,38,63,79,1,23-38,63-79,7290
S,17,49,618,381,128,25,141.81,254.118,3645,N,103,1,23,39,63,79,1,23-39,63-79,7291
S,17,48,619,361,128,19,141.81,248.824,3644,N,14,4,23,40,63,91,1,23-40,63-91,7288
S,17,48,619,361,128,19,141.81,248.824,3644,N,14,4,23,41,63,91,1,23-41,63-91,7289
S,16,54,3383,588,125,10,138.656,261.37,3577,N,152,2,23,42,57,110,1,23-42,57-110,7154
S,16,54,3383,588,125,10,138.656,261.37,3577,N,152,2,23,43,57,110,1,23-43,57-110,7155
S,7,75,5194,1339,114,6,110.362,251.321,2757,N,109,3,23,44,32,118,1,23-44,32-118,5514
S,7,75,5194,1339,114,6,110.362,251.321,2757,N,109,3,23,45,32,118,1,23-45,32-118,5515
S,23,24,2802,152,132,32,160.823,243.529,3947,N,40,4,23,46,32,1,1,23-46,32-1,7894
S,23,24,2802,152,132,32,160.823,243.529,3947,N,40,4,23,47,32,1,1,23-47,32-1,7895
S,15,59,4273,426,125,28,135.504,267.692,3504,N,26,3,23,48,57,74,1,23-48,57-74,7008
S,15,59,4273,426,125,28,135.504,267.692,3504,N,26,3,23,49,57,74,1,23-49,57-74,7009
