Sheel N/S,Layer,Layer inner no,SiPM no,Inner Sig,HV B no,HV I no,θ,φ,copy no,FEB type,LV M no,LV I no,FEC,FEC ch,HV Unit,HV Unit ch,tag,FEC,HV,chid
S,21,10,4180,42,98,8,154.463,70.4348,3847,N,34,2,13,64,39,50,1,13-64,39-50,7694
S,21,10,4180,42,98,8,154.463,70.4348,3847,N,34,2,13,65,39,50,1,13-65,39-50,7695
S,17,20,1002,698,95,12,141.81,100.588,3616,N,11,4,13,66,46,41,1,13-66,46-41,7232
S,17,20,1002,698,95,12,141.81,100.588,3616,N,11,4,13,67,46,41,1,13-67,46-41,7233
S,21,14,978,279,98,14,154.463,101.739,3851,N,47,2,13,68,39,38,1,13-68,39-38,7702
S,21,14,978,279,98,14,154.463,101.739,3851,N,47,2,13,69,39,38,1,13-69,39-38,7703
S,21,11,974,79,98,5,154.463,78.2609,3848,N,34,3,13,70,39,56,1,13-70,39-56,7696
S,21,11,974,79,98,5,154.463,78.2609,3848,N,34,3,13,71,39,56,1,13-71,39-56,7697
S,9,28,5226,180,86,3,116.638,96.2376,2920,N,10,4,13,72,41,123,1,13-72,41-123,5840
S,9,28,5226,180,86,3,116.638,96.2376,2920,N,10,4,13,73,41,123,1,13-73,41-123,5841
S,9,31,5140,1453,86,29,116.638,106.931,2923,N,420,3,13,74,41,71,1,13-74,41-71,5846
S,9,31,5140,1453,86,29,116.638,106.931,2923,N,420,3,13,75,41,71,1,13-75,41-71,5847
S,18,18,2592,652,95,13,144.967,97.1429,3682,N,136,2,13,76,46,39,1,13-76,46-39,7364
S,18,18,2592,652,95,13,144.967,97.1429,3682,N,136,2,13,77,46,39,1,13-77,46-39,7365
S,18,19,2599,694,95,24,144.967,102.857,3683,N,136,3,13,78,46,17,1,13-78,46-17,7366
S,18,19,2599,694,95,24,144.967,102.857,3683,N,136,3,13,79,46,17,1,13-79,46-17,7367
S,5,21,2962,1734,108,24,104.091,65.4545,2485,N,319,1,13,80,55,17,1,13-80,55-17,4970
S,5,21,2962,1734,108,24,104.091,65.4545,2485,N,319,1,13,81,55,17,1,13-81,55-17,4971
S,2,38,5093,1369,72,19,94.694,116.842,2163,N,328,2,13,82,33,91,1,13-82,33-91,4326
S,2,38,5093,1369,72,19,94.694,116.842,2163,N,328,2,13,83,33,91,1,13-83,33-91,4327
S,2,22,5322,1388,74,16,94.694,66.3158,2147,N,506,2,13,84,37,98,1,13-84,37-98,4294
S,2,22,5322,1388,74,16,94.694,66.3158,2147,N,506,2,13,85,37,98,1,13-85,37-98,4295
S,1,22,1668,607,74,9,91.565,66.3158,2033,N,457,2,13,86,37,112,1,13-86,37-112,4066
S,1,22,1668,607,74,9,91.565,66.3158,2033,N,457,2,13,87,37,112,1,13-87,37-112,4067
S,2,21,5323,1985,101,5,94.694,63.1579,2146,N,506,1,13,88,60,55,1,13-88,60-55,4292
S,2,21,5323,1985,101,5,94.694,63.1579,2146,N,506,1,13,89,60,55,1,13-89,60-55,4293
S,10,19,4632,465,87,15,119.778,66.1224,3012,N,93,3,13,90,54,99,1,13-90,54-99,6024
S,10,19,4632,465,87,15,119.778,66.1224,3012,N,93,3,13,91,54,99,1,13-91,54-99,6025
S,2,40,5091,1364,72,2,94.694,123.158,2165,N,328,4,13,92,33,125,1,13-92,33-125,4330
S,2,40,5091,1364,72,2,94.694,123.158,2165,N,328,4,13,93,33,125,1,13-93,33-125,4331
S,8,19,2950,671,108,29,113.499,62.3077,2807,N,309,3,13,94,55,7,1,13-94,55-7,5614
S,8,19,2950,671,108,29,113.499,62.3077,2807,N,309,3,13,95,55,7,1,13-95,55-7,5615
S,17,14,1001,373,95,31,141.81,68.8235,3610,N,46,2,13,96,46,3,1,13-96,46-3,7220
S,17,14,1001,373,95,31,141.81,68.8235,3610,N,46,2,13,97,46,3,1,13-97,46-3,7221
N,16,21,983,707,9,31,41.344,98.6301,447,N,9,1,13,98,30,4,1,13-98,30-4,894
N,16,21,983,707,9,31,41.344,98.6301,447,N,9,1,13,99,30,4,1,13-99,30-4,895
S,17,15,3583,689,95,29,141.81,74.1176,3611,N,46,3,13,100,46,7,1,13-100,46-7,7222
S,17,15,3583,689,95,29,141.81,74.1176,3611,N,46,3,13,101,46,7,1,13-101,46-7,7223
S,16,17,1317,131,92,22,138.656,78.9041,3540,N,142,1,13,102,45,21,1,13-102,45-21,7080
S,16,17,1317,131,92,22,138.656,78.9041,3540,N,142,1,13,103,45,21,1,13-103,45-21,7081
S,13,19,4162,21,92,16,129.208,74.4828,3295,N,15,3,13,104,45,33,1,13-104,45-33,6590
S,13,19,4162,21,92,16,129.208,74.4828,3295,N,15,3,13,105,45,33,1,13-105,45-33,6591
S,12,20,3088,456,87,3,126.063,75.1648,3205,N,45,4,13,106,54,123,1,13-106,54-123,6410
S,12,20,3088,456,87,3,126.063,75.1648,3205,N,45,4,13,107,54,123,1,13-107,54-123,6411
N,14,23,3035,327,9,8,47.645,96.5854,600,N,118,3,13,108,30,50,1,13-108,30-50,1200
N,14,23,3035,327,9,8,47.645,96.5854,600,N,118,3,13,109,30,50,1,13-109,30-50,1201
N,19,17,1841,317,6,17,31.872,99.3103,254,N,13,1,13,110,36,96,1,13-110,36-96,508
N,19,17,1841,317,6,17,31.872,99.3103,254,N,13,1,13,111,36,96,1,13-111,36-96,509
S,19,17,4197,219,95,11,148.128,99.3103,3744,N,53,1,13,112,46,43,1,13-112,46-43,7488
S,19,17,4197,219,95,11,148.128,99.3103,3744,N,53,1,13,113,46,43,1,13-113,46-43,7489
S,9,29,5225,689,86,12,116.638,99.802,2921,N,420,1,13,114,41,105,1,13-114,41-105,5842
S,9,29,5225,689,86,12,116.638,99.802,2921,N,420,1,13,115,41,105,1,13-115,41-105,5843
S,22,11,3645,47,98,24,157.639,90,3894,N,38,3,13,116,39,18,1,13-116,39-18,7788
S,22,11,3645,47,98,24,157.639,90,3894,N,38,3,13,117,39,18,1,13-117,39-18,7789
S,17,19,1003,708,95,3,141.81,95.2941,3615,N,11,3,13,118,46,59,1,13-118,46-59,7230
S,17,19,1003,708,95,3,141.81,95.2941,3615,N,11,3,13,119,46,59,1,13-119,46-59,7231
S,20,11,3364,213,98,4,151.293,69.2308,3796,N,73,3,13,120,39,58,1,13-120,39-58,7592
S,20,11,3364,213,98,4,151.293,69.2308,3796,N,73,3,13,121,39,58,1,13-121,39-58,7593
S,20,12,3363,100,98,1,151.293,76.1538,3797,N,73,4,13,122,39,64,1,13-122,39-64,7594
S,20,12,3363,100,98,1,151.293,76.1538,3797,N,73,4,13,123,39,64,1,13-123,39-64,7595
S,9,30,5230,175,86,8,116.638,103.366,2922,N,420,2,13,124,41,113,1,13-124,41-113,5844
S,9,30,5230,175,86,8,116.638,103.366,2922,N,420,2,13,125,41,113,1,13-125,41-113,5845
S,20,13,3362,283,98,2,151.293,83.0769,3798,N,64,1,13,126,39,62,1,13-126,39-62,7596
S,20,13,3362,283,98,2,151.293,83.0769,3798,N,64,1,13,127,39,62,1,13-127,39-62,7597
N,5,87,757,930,55,5,75.909,281.455,1535,N,246,3,14,0,55,119,1,14-0,55-119,3070
N,5,87,757,930,55,5,75.909,281.455,1535,N,246,3,14,1,55,119,1,14-1,55-119,3071
N,8,82,3247,148,55,28,66.501,280.385,1212,N,120,2,14,2,55,73,1,14-2,55-73,2424
N,8,82,3247,148,55,28,66.501,280.385,1212,N,120,2,14,3,55,73,1,14-3,55-73,2425
N,6,85,675,851,55,17,72.774,280,1425,N,97,1,14,6,55,95,1,14-6,55-95,2850
N,6,85,675,851,55,17,72.774,280,1425,N,97,1,14,7,55,95,1,14-7,55-95,2851
N,7,83,958,465,55,9,69.638,278.491,1317,N,54,3,14,8,55,111,1,14-8,55-111,2634
N,7,83,958,465,55,9,69.638,278.491,1317,N,54,3,14,9,55,111,1,14-9,55-111,2635
N,8,81,3246,144,55,23,66.501,276.923,1211,N,120,1,14,10,55,83,1,14-10,55-83,2422
N,8,81,3246,144,55,23,66.501,276.923,1211,N,120,1,14,11,55,83,1,14-11,55-83,2423
S,18,45,1577,387,128,8,144.967,251.429,3709,N,19,1,14,12,63,113,1,14-12,63-113,7418
S,18,45,1577,387,128,8,144.967,251.429,3709,N,19,1,14,13,63,113,1,14-13,63-113,7419
S,18,46,298,102,128,9,144.967,257.143,3710,N,19,2,14,14,63,111,1,14-14,63-111,7420
S,18,46,298,102,128,9,144.967,257.143,3710,N,19,2,14,15,63,111,1,14-15,63-111,7421
N,7,79,4811,113,54,3,69.638,264.906,1313,N,134,3,14,16,48,123,1,14-16,48-123,2626
N,7,79,4811,113,54,3,69.638,264.906,1313,N,134,3,14,17,48,123,1,14-17,48-123,2627
N,11,72,2301,938,48,7,57.08,271.915,909,N,68,4,14,18,54,51,1,14-18,54-51,1818
N,11,72,2301,938,48,7,57.08,271.915,909,N,68,4,14,19,54,51,1,14-19,54-51,1819
N,19,49,1111,1779,40,20,31.872,297.931,286,N,401,1,14,20,53,90,1,14-20,53-90,572
N,19,49,1111,1779,40,20,31.872,297.931,286,N,401,1,14,21,53,90,1,14-21,53-90,573
N,11,70,1415,99,48,8,57.08,264.255,907,N,68,2,14,22,54,49,1,14-22,54-49,1814
N,11,70,1415,99,48,8,57.08,264.255,907,N,68,2,14,23,54,49,1,14-23,54-49,1815
N,9,75,3881,935,48,9,63.362,263.762,1104,N,96,3,14,24,54,47,1,14-24,54-47,2208
N,9,75,3881,935,48,9,63.362,263.762,1104,N,96,3,14,25,54,47,1,14-25,54-47,2209
N,12,68,900,153,48,28,53.937,265.055,814,N,18,4,14,26,54,9,1,14-26,54-9,1628
N,12,68,900,153,48,28,53.937,265.055,814,N,18,4,14,27,54,9,1,14-27,54-9,1629
N,6,80,3745,821,54,5,72.774,263.333,1420,N,271,4,14,28,48,119,1,14-28,48-119,2840
N,6,80,3745,821,54,5,72.774,263.333,1420,N,271,4,14,29,48,119,1,14-29,48-119,2841
N,10,73,3310,154,48,25,60.222,264.49,1004,N,239,1,14,30,54,15,1,14-30,54-15,2008
N,10,73,3310,154,48,25,60.222,264.49,1004,N,239,1,14,31,54,15,1,14-31,54-15,2009
N,5,84,754,1611,54,16,75.909,271.636,1532,N,512,4,14,32,48,97,1,14-32,48-97,3064
N,5,84,754,1611,54,16,75.909,271.636,1532,N,512,4,14,33,48,97,1,14-33,48-97,3065
N,6,82,459,1781,54,7,72.774,270,1422,N,233,2,14,34,48,115,1,14-34,48-115,2844
N,6,82,459,1781,54,7,72.774,270,1422,N,233,2,14,35,48,115,1,14-35,48-115,2845
N,7,84,951,511,55,10,69.638,281.887,1318,N,54,4,14,36,55,109,1,14-36,55-109,2636
N,7,84,951,511,55,10,69.638,281.887,1318,N,54,4,14,37,55,109,1,14-37,55-109,2637
N,1,82,3071,795,61,30,88.435,255.789,1979,N,229,2,14,38,32,69,1,14-38,32-69,3958
N,1,82,3071,795,61,30,88.435,255.789,1979,N,229,2,14,39,32,69,1,14-39,32-69,3959
S,6,82,2707,1271,114,18,107.226,270,2656,N,263,2,14,40,32,94,1,14-40,32-94,5312
S,6,82,2707,1271,114,18,107.226,270,2656,N,263,2,14,41,32,94,1,14-41,32-94,5313
N,3,83,3450,1616,61,15,82.175,261.239,1753,N,285,3,14,42,32,99,1,14-42,32-99,3506
N,3,83,3450,1616,61,15,82.175,261.239,1753,N,285,3,14,43,32,99,1,14-43,32-99,3507
S,23,25,2803,125,132,30,160.823,254.118,3948,S,28,1,14,44,32,5,1,14-44,32-5,7896
S,23,25,2803,125,132,30,160.823,254.118,3948,S,28,1,14,45,32,5,1,14-45,32-5,7897
S,17,50,620,374,128,30,141.81,259.412,3646,N,103,2,14,46,63,69,1,14-46,63-69,7292
S,17,50,620,374,128,30,141.81,259.412,3646,N,103,2,14,47,63,69,1,14-47,63-69,7293
N,12,69,896,169,48,26,53.937,269.011,815,N,60,1,14,48,54,13,1,14-48,54-13,1630
N,12,69,896,169,48,26,53.937,269.011,815,N,60,1,14,49,54,13,1,14-49,54-13,1631
N,5,85,755,923,55,19,75.909,274.909,1533,N,246,1,14,50,55,91,1,14-50,55-91,3066
N,5,85,755,923,55,19,75.909,274.909,1533,N,246,1,14,51,55,91,1,14-51,55-91,3067
N,10,74,3309,62,48,22,60.222,268.163,1005,N,239,2,14,52,54,21,1,14-52,54-21,2010
