channelID,x,y,z,label
0,-2302.8,-2446.0,-7284.19,4
1,-2277.95,-2446.0,-7288.37,4
2,-2313.7,-2391.2,-7284.19,4
3,-2290.74,-2381.69,-7288.37,4
4,-2344.74,-2344.74,-7284.19,0
5,-2327.17,-2327.17,-7288.37,0
6,-2391.2,-2313.7,-7284.19,5
7,-2381.69,-2290.74,-7288.37,5
8,-2446.0,-2302.8,-7284.19,6
9,-2446.0,-2277.95,-7288.37,6
10,-2500.8,-2313.7,-7284.19,6
11,-2510.31,-2290.74,-7288.37,6
12,-2547.26,-2344.74,-7284.19,1
13,-2564.83,-2327.17,-7288.37,1
14,-2578.3,-2391.2,-7284.19,7
15,-2601.26,-2381.69,-7288.37,7
16,-2589.2,-2446.0,-7284.19,7
17,-2614.05,-2446.0,-7288.37,7
18,-2578.3,-2500.8,-7284.19,8
19,-2601.26,-2510.31,-7288.37,8
20,-2547.26,-2547.26,-7284.19,2
21,-2564.83,-2564.83,-7288.37,2
22,-2500.8,-2578.3,-7284.19,9
23,-2510.31,-2601.26,-7288.37,9
24,-2446.0,-2589.2,-7284.19,10
25,-2446.0,-2614.05,-7288.37,10
26,-2391.2,-2578.3,-7284.19,10
27,-2381.69,-2601.26,-7288.37,10
28,-2344.74,-2547.26,-7284.19,3
29,-2327.17,-2564.83,-7288.37,3
30,-2313.7,-2500.8,-7284.19,11
31,-2290.74,-2510.31,-7288.37,11
32,-2250.61,-2446.0,-7293.76,12
33,-2226.03,-2446.0,-7299.33,12
34,-2258.52,-2390.95,-7293.76,4
35,-2234.94,-2384.03,-7299.33,4
36,-2281.63,-2340.36,-7293.76,4
37,-2260.95,-2327.08,-7299.33,4
38,-2318.04,-2298.33,-7293.76,5
39,-2301.95,-2279.76,-7299.33,13
40,-2364.83,-2268.26,-7293.76,5
41,-2354.62,-2245.91,-7299.33,5
42,-2418.19,-2252.6,-7293.76,5
43,-2414.7,-2228.27,-7299.33,14
44,-2473.81,-2252.6,-7293.76,6
45,-2477.3,-2228.27,-7299.33,15
46,-2527.17,-2268.26,-7293.76,6
47,-2537.38,-2245.91,-7299.33,6
48,-2573.95,-2298.33,-7293.76,6
49,-2590.05,-2279.76,-7299.33,16
50,-2610.38,-2340.36,-7293.76,7
51,-2631.05,-2327.08,-7299.33,7
52,-2633.48,-2390.95,-7293.76,7
53,-2657.06,-2384.03,-7299.33,7
54,-2641.39,-2446.0,-7293.76,17
55,-2665.97,-2446.0,-7299.33,17
56,-2633.48,-2501.05,-7293.76,8
57,-2657.06,-2507.97,-7299.33,8
58,-2610.38,-2551.64,-7293.76,8
59,-2631.05,-2564.92,-7299.33,8
60,-2573.95,-2593.67,-7293.76,9
61,-2590.05,-2612.24,-7299.33,19
62,-2527.17,-2623.74,-7293.76,9
63,-2537.38,-2646.09,-7299.33,9
64,-2473.81,-2639.4,-7293.76,9
65,-2477.31,-2663.73,-7299.33,20
66,-2418.19,-2639.4,-7293.76,10
67,-2414.69,-2663.73,-7299.33,21
68,-2364.83,-2623.74,-7293.76,10
69,-2354.62,-2646.09,-7299.33,10
70,-2318.05,-2593.67,-7293.76,10
71,-2301.95,-2612.24,-7299.33,22
72,-2281.62,-2551.64,-7293.76,11
73,-2260.95,-2564.92,-7299.33,11
74,-2258.52,-2501.05,-7293.76,11
75,-2234.94,-2507.97,-7299.33,11
76,-2199.44,-2446.0,-7306.14,12
77,-2175.21,-2446.0,-7313.08,12
78,-2205.62,-2391.13,-7306.14,12
79,-2182.0,-2385.74,-7313.08,12
80,-2223.85,-2339.02,-7306.14,4
81,-2202.03,-2328.51,-7313.08,12
82,-2253.23,-2292.27,-7306.14,13
83,-2234.29,-2277.16,-7313.08,13
84,-2292.27,-2253.23,-7306.14,13
85,-2277.16,-2234.29,-7313.08,13
86,-2339.02,-2223.85,-7306.14,5
87,-2328.51,-2202.03,-7313.08,14
88,-2391.13,-2205.62,-7306.14,14
89,-2385.74,-2182.0,-7313.08,14
90,-2446.0,-2199.44,-7306.14,15
91,-2446.0,-2175.21,-7313.08,15
92,-2500.87,-2205.62,-7306.14,15
93,-2506.26,-2182.0,-7313.08,15
94,-2552.98,-2223.85,-7306.14,6
95,-2563.49,-2202.03,-7313.08,15
96,-2599.73,-2253.23,-7306.14,16
97,-2614.83,-2234.29,-7313.08,16
98,-2638.77,-2292.27,-7306.14,16
99,-2657.71,-2277.17,-7313.08,16
100,-2668.15,-2339.02,-7306.14,7
101,-2689.97,-2328.51,-7313.08,17
102,-2686.38,-2391.13,-7306.14,17
103,-2710.0,-2385.74,-7313.08,17
104,-2692.56,-2446.0,-7306.14,17
105,-2716.79,-2446.0,-7313.08,17
106,-2686.38,-2500.87,-7306.14,18
107,-2710.0,-2506.26,-7313.08,18
108,-2668.15,-2552.98,-7306.14,8
109,-2689.97,-2563.49,-7313.08,18
110,-2638.77,-2599.73,-7306.14,19
111,-2657.71,-2614.83,-7313.08,19
112,-2599.73,-2638.77,-7306.14,19
113,-2614.83,-2657.71,-7313.08,19
114,-2552.98,-2668.15,-7306.14,9
115,-2563.49,-2689.97,-7313.08,20
116,-2500.87,-2686.38,-7306.14,20
117,-2506.26,-2710.0,-7313.08,20
118,-2446.0,-2692.56,-7306.14,21
119,-2446.0,-2716.79,-7313.08,21
120,-2391.13,-2686.38,-7306.14,21
121,-2385.74,-2710.0,-7313.08,21
122,-2339.02,-2668.15,-7306.14,10
123,-2328.51,-2689.97,-7313.08,21
124,-2292.27,-2638.77,-7306.14,22
125,-2277.17,-2657.71,-7313.08,22
126,-2253.23,-2599.73,-7306.14,22
127,-2234.29,-2614.83,-7313.08,22
128,-2223.85,-2552.98,-7306.14,11
129,-2202.03,-2563.49,-7313.08,23
130,-2205.62,-2500.87,-7306.14,23
131,-2182.0,-2506.26,-7313.08,23
132,-2149.29,-2446.0,-7321.3,24
133,-2125.49,-2446.0,-7329.57,24
134,-2154.34,-2391.48,-7321.3,12
135,-2130.94,-2387.11,-7329.57,12
136,-2169.32,-2338.81,-7321.3,12
137,-2147.13,-2330.22,-7329.57,12
138,-2193.73,-2289.8,-7321.3,25
139,-2173.49,-2277.27,-7329.57,25
140,-2226.73,-2246.11,-7321.3,13
141,-2209.14,-2230.07,-7329.57,13
142,-2267.19,-2209.22,-7321.3,13
143,-2252.85,-2190.22,-7329.57,13
144,-2313.74,-2180.39,-7321.3,14
145,-2303.13,-2159.09,-7329.57,14
146,-2364.8,-2160.61,-7321.3,14
147,-2358.29,-2137.72,-7329.57,14
148,-2418.62,-2150.55,-7321.3,14
149,-2416.43,-2126.85,-7329.57,27
150,-2473.38,-2150.55,-7321.3,15
151,-2475.57,-2126.85,-7329.57,28
152,-2527.2,-2160.61,-7321.3,15
153,-2533.71,-2137.72,-7329.57,15
154,-2578.26,-2180.39,-7321.3,15
155,-2588.87,-2159.09,-7329.57,15
156,-2624.81,-2209.22,-7321.3,16
157,-2639.15,-2190.22,-7329.57,16
158,-2665.27,-2246.11,-7321.3,16
159,-2682.86,-2230.07,-7329.57,16
160,-2698.27,-2289.8,-7321.3,30
161,-2718.51,-2277.27,-7329.57,30
162,-2722.68,-2338.82,-7321.3,17
163,-2744.87,-2330.22,-7329.57,17
164,-2737.66,-2391.48,-7321.3,17
165,-2761.06,-2387.11,-7329.57,17
166,-2742.71,-2446.0,-7321.3,31
167,-2766.51,-2446.0,-7329.57,31
168,-2737.66,-2500.52,-7321.3,18
169,-2761.06,-2504.89,-7329.57,18
170,-2722.68,-2553.18,-7321.3,18
171,-2744.87,-2561.78,-7329.57,18
172,-2698.27,-2602.2,-7321.3,33
